name,serialized_value,created_at,updated_at
BRAND_URL,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: https://www.chatwoot.com\n""",2026-06-18 16:26:15.007159,2026-06-18 16:26:15.007159
CAPTAIN_CLOUD_PLAN_LIMITS,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.086046,2026-06-18 16:26:15.086046
CAPTAIN_DOCUMENT_AUTO_SYNC_GLOBAL_BATCH_LIMIT,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: 1000\n""",2026-06-18 16:26:15.092333,2026-06-18 16:26:15.092333
CAPTAIN_DOCUMENT_AUTO_SYNC_INTERVALS,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.088175,2026-06-18 16:26:15.088175
CAPTAIN_DOCUMENT_AUTO_SYNC_PER_ACCOUNT_BATCH_LIMIT,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: 50\n""",2026-06-18 16:26:15.090229,2026-06-18 16:26:15.090229
CAPTAIN_EMBEDDING_MODEL,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.081676,2026-06-18 16:26:15.081676
CAPTAIN_FIRECRAWL_API_KEY,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.083938,2026-06-18 16:26:15.083938
CAPTAIN_OPEN_AI_API_KEY,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.075088,2026-06-18 16:26:15.075088
CAPTAIN_OPEN_AI_ENDPOINT,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.079566,2026-06-18 16:26:15.079566
CAPTAIN_OPEN_AI_MODEL,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.077493,2026-06-18 16:26:15.077493
CHATWOOT_CLOUD_PLAN_FEATURES,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.102838,2026-06-18 16:26:15.102838
CHATWOOT_CLOUD_PLANS,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.100745,2026-06-18 16:26:15.100745
CHATWOOT_INBOX_HMAC_KEY,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.098661,2026-06-18 16:26:15.098661
CHATWOOT_INBOX_TOKEN,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.096582,2026-06-18 16:26:15.096582
CHATWOOT_INSTANCE_ADMIN_EMAIL,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.133541,2026-06-18 16:26:15.133541
CHATWOOT_SUPPORT_IDENTIFIER_HASH,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: 4498a1d55ab981372cf3a77bf91403dc3157105820207b401d524de69cf8b2b8\n""",2026-06-18 16:26:15.128955,2026-07-03 17:04:04.118288
CHATWOOT_SUPPORT_SCRIPT_URL,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: https://app.chatwoot.com\n""",2026-06-18 16:26:15.126691,2026-06-20 04:05:05.114151
CHATWOOT_SUPPORT_WEBSITE_TOKEN,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: buziVV8JZbYzuFskjTstyKXG\n""",2026-06-18 16:26:15.124586,2026-06-20 04:05:05.107164
CLEARBIT_API_KEY,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.109212,2026-06-18 16:26:15.109212
CLOUD_ANALYTICS_TOKEN,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.107077,2026-06-18 16:26:15.107077
CLOUDFLARE_API_KEY,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.232389,2026-06-18 16:26:15.232389
CLOUDFLARE_ZONE_ID,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.234807,2026-06-18 16:26:15.234807
CONTEXT_DEV_API_KEY,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.094531,2026-06-18 16:26:15.094531
CREATE_NEW_ACCOUNT_FROM_DASHBOARD,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: false\n""",2026-06-18 16:26:15.02438,2026-06-18 16:26:15.02438
DASHBOARD_SCRIPTS,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.111493,2026-06-18 16:26:15.111493
DEPLOYMENT_ENV,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: self-hosted\n""",2026-06-18 16:26:15.104995,2026-06-18 16:26:15.104995
DIRECT_UPLOADS_ENABLED,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: false\n""",2026-06-18 16:26:15.035732,2026-06-18 16:26:15.035732
DISABLE_USER_PROFILE_UPDATE,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: false\n""",2026-06-18 16:26:15.141792,2026-06-18 16:26:15.141792
DISPLAY_MANIFEST,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: true\n""",2026-06-18 16:26:15.019981,2026-06-18 16:26:15.019981
ENABLE_ACCOUNT_SIGNUP,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: false\n""",2026-06-18 16:26:15.022226,2026-06-18 16:26:15.022226
ENABLE_GOOGLE_OAUTH_LOGIN,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: true\n""",2026-06-18 16:26:15.227326,2026-06-18 16:26:15.227326
ENABLE_INSTAGRAM_CHANNEL_HUMAN_AGENT,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: false\n""",2026-06-18 16:26:15.204056,2026-06-18 16:26:15.204056
ENABLE_MESSENGER_CHANNEL_HUMAN_AGENT,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: false\n""",2026-06-18 16:26:15.05937,2026-06-18 16:26:15.05937
ENABLE_SAML_SSO_LOGIN,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: true\n""",2026-06-18 16:26:15.230402,2026-06-18 16:26:15.230402
FACEBOOK_API_VERSION,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: v18.0\n""",2026-06-18 16:26:15.057283,2026-06-18 16:26:15.057283
FB_APP_ID,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.048616,2026-06-18 16:26:15.048616
FB_APP_SECRET,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.052843,2026-06-18 16:26:15.052843
FB_VERIFY_TOKEN,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.050719,2026-06-18 16:26:15.050719
FIREBASE_CREDENTIALS,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.145898,2026-06-18 16:26:15.145898
FIREBASE_PROJECT_ID,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.143843,2026-06-18 16:26:15.143843
GOOGLE_OAUTH_CLIENT_ID,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.220649,2026-06-18 16:26:15.220649
GOOGLE_OAUTH_CLIENT_SECRET,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.222954,2026-06-18 16:26:15.222954
GOOGLE_OAUTH_REDIRECT_URI,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.225068,2026-06-18 16:26:15.225068
HCAPTCHA_SERVER_KEY,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.028713,2026-06-18 16:26:15.028713
HCAPTCHA_SITE_KEY,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.026526,2026-06-18 16:26:15.026526
IG_VERIFY_TOKEN,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.055099,2026-06-18 16:26:15.055099
INACTIVE_WHATSAPP_NUMBERS,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: ''\n""",2026-06-18 16:26:15.118009,2026-06-18 16:26:15.118009
INSTAGRAM_API_VERSION,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: v22.0\n""",2026-06-18 16:26:15.206331,2026-06-18 16:26:15.206331
INSTAGRAM_APP_ID,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.196483,2026-06-18 16:26:15.196483
INSTAGRAM_APP_SECRET,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.198675,2026-06-18 16:26:15.198675
INSTAGRAM_VERIFY_TOKEN,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.201899,2026-06-18 16:26:15.201899
INSTALLATION_EVENTS_WEBHOOK_URL,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.031104,2026-06-18 16:26:15.031104
INSTALLATION_IDENTIFIER,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: e04t63ff-5gg8-4b94-8914-aft137a7d938\n""",2026-06-19 11:28:10.693197,2026-06-19 11:28:10.693197
INSTALLATION_NAME,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: Chatwoot\n""",2026-06-18 16:26:14.994465,2026-06-18 16:26:14.994465
INSTALLATION_PRICING_PLAN,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: community\n""",2026-06-18 16:26:15.120178,2026-07-03 17:04:04.105507
INSTALLATION_PRICING_PLAN_QUANTITY,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: 0\n""",2026-06-18 16:26:15.122388,2026-07-03 17:04:04.112844
LANGFUSE_BASE_URL,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: https://us.cloud.langfuse.com\n""",2026-06-18 16:26:15.246127,2026-06-18 16:26:15.246127
LANGFUSE_PUBLIC_KEY,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: ''\n""",2026-06-18 16:26:15.241878,2026-06-18 16:26:15.241878
LANGFUSE_SECRET_KEY,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: ''\n""",2026-06-18 16:26:15.24402,2026-06-18 16:26:15.24402
LINEAR_CLIENT_ID,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.173985,2026-06-18 16:26:15.173985
LINEAR_CLIENT_SECRET,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.17619,2026-06-18 16:26:15.17619
LOGO,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: \""/brand-assets/logo.svg\""\n""",2026-06-18 16:26:15.001099,2026-06-18 16:26:15.001099
LOGO_DARK,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: \""/brand-assets/logo_dark.svg\""\n""",2026-06-18 16:26:15.003693,2026-06-18 16:26:15.003693
LOGO_THUMBNAIL,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: \""/brand-assets/logo_thumbnail.svg\""\n""",2026-06-18 16:26:14.998707,2026-06-18 16:26:14.998707
LOGOUT_REDIRECT_LINK,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: \""/app/login\""\n""",2026-06-18 16:26:15.139764,2026-06-18 16:26:15.139764
MAILER_INBOUND_EMAIL_DOMAIN,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.040099,2026-06-18 16:26:15.040099
MAILER_SUPPORT_EMAIL,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.042212,2026-06-18 16:26:15.042212
MAXIMUM_FILE_UPLOAD_SIZE,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: 40\n""",2026-06-18 16:26:15.037945,2026-06-18 16:26:15.037945
NOTION_CLIENT_ID,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.178449,2026-06-18 16:26:15.178449
NOTION_CLIENT_SECRET,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.180955,2026-06-18 16:26:15.180955
NOTION_VERSION,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: '2022-06-28'\n""",2026-06-18 16:26:15.184709,2026-06-18 16:26:15.184709
OG_IMAGE_CDN_URL,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: ''\n""",2026-06-18 16:26:15.215534,2026-06-18 16:26:15.215534
OG_IMAGE_CLIENT_REF,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: ''\n""",2026-06-18 16:26:15.217625,2026-06-18 16:26:15.217625
OTEL_PROVIDER,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: ''\n""",2026-06-18 16:26:15.239819,2026-06-18 16:26:15.239819
PRIVACY_URL,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: https://www.chatwoot.com/privacy-policy\n""",2026-06-18 16:26:15.017751,2026-06-18 16:26:15.017751
SHOPIFY_CLIENT_ID,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.19233,2026-06-18 16:26:15.19233
SHOPIFY_CLIENT_SECRET,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.194442,2026-06-18 16:26:15.194442
SKIP_INCOMING_BCC_PROCESSING,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.11575,2026-06-18 16:26:15.11575
SLACK_CLIENT_ID,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.187122,2026-06-18 16:26:15.187122
SLACK_CLIENT_SECRET,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.189422,2026-06-18 16:26:15.189422
TERMS_URL,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: https://www.chatwoot.com/terms-of-service\n""",2026-06-18 16:26:15.015496,2026-06-18 16:26:15.015496
TIKTOK_API_VERSION,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: v1.3\n""",2026-06-18 16:26:15.208414,2026-06-18 16:26:15.208414
TIKTOK_APP_ID,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.21127,2026-06-18 16:26:15.21127
TIKTOK_APP_SECRET,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue:\n""",2026-06-18 16:26:15.213441,2026-06-18 16:26:15.213441
VAPID_KEYS,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: !ruby/hash:ActiveSupport::HashWithIndifferentAccess\n  public_key: BFipW4JptEhtA52I4B8MPygE-XIGGiEY0JqaNA6JvuYa-U1rdPgNAq6pLnCsUGpUIKdsbsWqE1hQSJp0gKf5FP8=\n  private_key: vGanhShrOj9NeHkRyrsCAkMQp5wil-Xdp8SgepJsJwo=\n""",2026-06-18 16:27:18.51896,2026-06-18 16:27:18.51896
WEBHOOK_TIMEOUT,"""--- !ruby/hash:ActiveSupport::HashWithIndifferentAccess\nvalue: 5\n""",2026-06-18 16:26:15.033514,2026-06-18 16:26:15.033514
